timestamp,open,high,low,close,volume
2026-06-20T10:00:00Z,4300.0,4310.0,4290.0,4305.0,1000
2026-06-20T11:00:00Z,4305.0,4312.0,4295.0,4300.0,1200
2026-06-20T12:00:00Z,4300.0,4308.0,4292.0,4302.0,1100
2026-06-20T13:00:00Z,4302.0,4315.0,4298.0,4314.0,1500
2026-06-20T14:00:00Z,4314.0,4325.0,4310.0,4320.0,2000
2026-06-20T15:00:00Z,4320.0,4330.0,4315.0,4325.0,2200
2026-06-20T16:00:00Z,4325.0,4328.0,4310.0,4312.0,1800
2026-06-20T17:00:00Z,4312.0,4315.0,4290.0,4295.0,2500
2026-06-20T18:00:00Z,4295.0,4305.0,4285.0,4300.0,1900
2026-06-20T19:00:00Z,4300.0,4302.0,4280.0,4285.0,2100
